"","sample","cell_type","composition","integrate"
"84","MOCC-0002-B","Class-switched memory B-cells",1.75034295956902e-18,"Y"
"85","MOCC-0002-B","CLP",0.0393030647055473,"Y"
"86","MOCC-0002-B","CMP",0.00883215966197321,"Y"
"87","MOCC-0002-B","DC",0.0526360827322606,"Y"
"88","MOCC-0002-B","Endothelial cells",0.124126054967537,"Y"
"89","MOCC-0002-B","Eosinophils",0.0079378131267451,"Y"
"90","MOCC-0002-B","Epithelial cells",0.354221168760841,"Y"
"91","MOCC-0002-B","Erythrocytes",0.000206999113300674,"Y"
"92","MOCC-0002-B","Fibroblasts",0.265708496563412,"Y"
"93","MOCC-0002-B","GMP",0.0952143601136162,"Y"
"94","MOCC-0002-B","Hepatocytes",0.000871772582483852,"Y"
"95","MOCC-0002-B","HSC",0.552949029735844,"Y"
"96","MOCC-0002-B","iDC",0.86289934669839,"Y"
"97","MOCC-0002-B","Keratinocytes",0.117054615207487,"Y"
"98","MOCC-0002-B","ly Endothelial cells",0.0665449169423304,"Y"
"99","MOCC-0002-B","Macrophages",0.0285252259635731,"Y"
"100","MOCC-0002-B","Macrophages M1",0.023786974250163,"Y"
"101","MOCC-0002-B","Macrophages M2",0,"Y"
"102","MOCC-0002-B","Mast cells",0.0142800899215793,"Y"
"103","MOCC-0002-B","Megakaryocytes",0.00670026237091752,"Y"
"104","MOCC-0002-B","Melanocytes",0.00490807944207926,"Y"
"105","MOCC-0002-B","Memory B-cells",0,"Y"
"106","MOCC-0002-B","MEP",0.0347767277813974,"Y"
"107","MOCC-0002-B","Mesangial cells",0.0501027200091726,"Y"
"108","MOCC-0002-B","Monocytes",1.97543261456361e-19,"Y"
"109","MOCC-0002-B","MPP",5.59576238003011e-19,"Y"
"110","MOCC-0002-B","MSC",1.38000087396706e-18,"Y"
"111","MOCC-0002-B","mv Endothelial cells",0.0679940198863667,"Y"
"112","MOCC-0002-B","Myocytes",0.00710005979356563,"Y"
"113","MOCC-0002-B","naive B-cells",4.47655020939348e-18,"Y"
"114","MOCC-0002-B","Neurons",0.00862557770655082,"Y"
"115","MOCC-0002-B","Neutrophils",1.25658541432467e-19,"Y"
"116","MOCC-0002-B","NK cells",9.79531565288339e-18,"Y"
"117","MOCC-0002-B","NKT",0.106951726209088,"Y"
"118","MOCC-0002-B","Osteoblast",0,"Y"
"119","MOCC-0002-B","pDC",0.0188919396352962,"Y"
"120","MOCC-0002-B","Pericytes",0.231875494739715,"Y"
"121","MOCC-0002-B","Plasma cells",0.0474985297163115,"Y"
"122","MOCC-0002-B","Platelets",0,"Y"
"123","MOCC-0002-B","Preadipocytes",0.0213617633796579,"Y"
"124","MOCC-0002-B","pro B-cells",7.56438774419795e-18,"Y"
"125","MOCC-0002-B","Sebocytes",0.050568309643994,"Y"
"126","MOCC-0002-B","Skeletal muscle",0.013344476978219,"Y"
"127","MOCC-0002-B","Smooth muscle",0.235308803993505,"Y"
"128","MOCC-0002-B","Tgd cells",4.43282641136348e-19,"Y"
"129","MOCC-0002-B","Th1 cells",0,"Y"
"130","MOCC-0002-B","Th2 cells",0.178801804022301,"Y"
"131","MOCC-0002-B","Tregs",0.0146595800372117,"Y"
"132","MOCC-0002-B","ImmuneScore",0.0873596855297622,"Y"
"133","MOCC-0002-B","StromaScore",0.194917275765474,"Y"
"134","MOCC-0002-B","MicroenvironmentScore",0.282276961295237,"Y"
"135","MOCC-0003-B","aDC",0.154035572474542,"Y"
"136","MOCC-0003-B","Adipocytes",0.00247223699159665,"Y"
"137","MOCC-0003-B","Astrocytes",4.8157200678531e-19,"Y"
"138","MOCC-0003-B","B-cells",0.0118181143144581,"Y"
"139","MOCC-0003-B","Basophils",0.0551242083431765,"Y"
"140","MOCC-0003-B","CD4+ memory T-cells",0.00612888963635174,"Y"
"141","MOCC-0003-B","CD4+ naive T-cells",0,"Y"
"142","MOCC-0003-B","CD4+ T-cells",7.53992677399442e-19,"Y"
"143","MOCC-0003-B","CD4+ Tcm",0,"Y"
"144","MOCC-0003-B","CD4+ Tem",1.67637735397395e-18,"Y"
"145","MOCC-0003-B","CD8+ naive T-cells",0.0122732214852745,"Y"
