"","gene","count","group","pvalue"
"1","LCR_E67",12,"Observed",0.0400213600355983
"2","LCR_E67",24.412955465587,"Expected",0.0400213600355983
"3","E1",57,"Observed",0.000385428030178551
"4","E1",29.5900809716599,"Expected",0.000385428030178551
"5","E2",24,"Observed",0.276092978715309
"6","E2",16.67004048583,"Expected",0.276092978715309
"7","E4",7,"Observed",0.6209717821045
"8","E4",4.37246963562753,"Expected",0.6209717821045
"9","E5",3,"Observed",0.999999999999997
"10","E5",3.59817813765182,"Expected",0.999999999999997
"11","L2",9,"Observed",0.0248828002376509
"12","L2",21.5890688259109,"Expected",0.0248828002376509
"13","L1",15,"Observed",0.150786361233249
"14","L1",24.2307692307692,"Expected",0.150786361233249
