"","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FoldChange"
"AMOT",1.13121945909095,0.847972160618768,3.57703900255864,0.000545323063786869,0.123987144085033,-0.338907106918375,-1.13121945909095
"PLEKHG1",1.02496780421561,1.81288541796491,3.57649026234938,0.000546333316306335,0.123987144085033,-0.340555965613023,-1.02496780421561
"SALL1",0.838334158202052,0.724189768362239,3.5764016084504,0.000546496697694102,0.123987144085033,-0.340822335656527,-0.838334158202052
"CNGA4",0.317690646238859,0.0502735676794909,3.57489187401353,0.00054928611209344,0.123987144085033,-0.345357730221223,-0.317690646238859
"MGAT5",0.980197990278293,1.64478161639398,3.57471459605279,0.000549614536464711,0.123987144085033,-0.345890196563702,-0.980197990278293
"TGM3",1.00875366769238,0.405467423046087,3.5694425767809,0.000559466787949432,0.123987144085033,-0.361715976760214,-1.00875366769238
"TMEM9B-AS1",0.592362535163224,0.63931936351535,3.5680989921978,0.000562004233622851,0.123987144085033,-0.365746395555024,-0.592362535163224
"OBP2B",0.993944506195118,0.111341897418053,3.55851088962374,0.000580430481436573,0.123987144085033,-0.394475103857721,-0.993944506195118
"DEFB104A",0.738421426727945,0.0602793001410568,3.5584826339544,0.000580485617353126,0.123987144085033,-0.394559679792787,-0.738421426727945
"DEFB105A",0.429119925909513,0.0350301980334297,3.55824107728846,0.000580957174413616,0.123987144085033,-0.395282695631883,-0.429119925909513
"SHISA6",0.521530604031367,0.239318078633496,3.55709941292959,0.000583190790111281,0.123987144085033,-0.398699369488723,-0.521530604031367
"RAD51AP1",-1.05358991131548,4.55652191215893,-3.55697365336059,0.000583437328961328,0.123987144085033,-0.399075681201687,1.05358991131548
"PLA2G4A",1.17176782689715,2.1092366375466,3.55536038396054,0.000586608731829472,0.123987144085033,-0.403902193877899,-1.17176782689715
"DPPA2",0.749995991991932,0.0620154236072003,3.55459117908185,0.00058812658409819,0.123987144085033,-0.406202887274951,-0.749995991991932
"NAV2-AS4",0.107992306302996,0.00881569847371399,3.55285961810855,0.000591557026295175,0.123987144085033,-0.411380614249052,-0.107992306302996
"DOCK9-AS1",0.091397905196525,0.00746105348543061,3.55059129082335,0.000596079495316718,0.123987144085033,-0.418160500844846,-0.091397905196525
"LINC02231",0.0778662938650221,0.0063564321522467,3.54757778281895,0.000602138230150518,0.123987144085033,-0.427162624785865,-0.0778662938650221
"PIEZO2",0.301616002512372,0.248123668722564,3.54750638080612,0.000602282489168155,0.123987144085033,-0.427375850912147,-0.301616002512372
"EPPIN-WFDC6",0.0514399424260507,0.00714613050001664,3.54642499605426,0.000604471292050843,0.123987144085033,-0.430604767740987,-0.0514399424260507
"CTNNA2",0.736870887761259,0.0893364314369197,3.54374980202672,0.0006099184308129,0.123987144085033,-0.438589456105028,-0.736870887761259
"DCDC2",0.66677180171972,0.22714347092105,3.54368045629171,0.000610060245154461,0.123987144085033,-0.438796372681524,-0.66677180171972
"FRMPD2",0.253826128448065,0.111103311215786,3.54301130159354,0.000611430290851246,0.123987144085033,-0.440792865855605,-0.253826128448065
"FOLH1",0.742322451072357,0.817932181336643,3.5416054916843,0.000614318061034657,0.123987144085033,-0.444986317996916,-0.742322451072357
"AVPR1B",0.104551204404863,0.0428932730419789,3.54143499023081,0.000614669174772515,0.123987144085033,-0.44549482865789,-0.104551204404863
"LINC01831",0.0619618953280086,0.00505811390432723,3.54123654487146,0.00061507807220699,0.123987144085033,-0.446086657065301,-0.0619618953280086
"PDZD8",0.963676089953866,1.79416866022932,3.53621895897748,0.000625502641538293,0.123987144085033,-0.461042383420339,-0.963676089953866
"TUNAR",0.634109004854266,0.0631366107868648,3.53428943309637,0.000629555698843613,0.123987144085033,-0.466789372625407,-0.634109004854266
"PLCH1-AS2",0.0486958514703407,0.00397517154859924,3.53061037187965,0.000637352583171782,0.123987144085033,-0.477740673131665,-0.0486958514703407
"ORM1",0.536685068842139,0.23440607891365,3.52870115494947,0.000641434570895343,0.123987144085033,-0.483420348413477,-0.536685068842139
"LOC102724957",0.227095954354918,0.0199198689757094,3.52660982291983,0.000645934262887363,0.123987144085033,-0.489639119351199,-0.227095954354918
"GC",0.224875488438064,0.0199155731078036,3.52599284323739,0.000647267435718014,0.123987144085033,-0.491473231884699,-0.224875488438064
"NUTM2A-AS1",-0.828947095080696,4.00155890248838,-3.52525871765844,0.000648857123769177,0.123987144085033,-0.493655270121669,0.828947095080696
"DEFA6",1.11510314996267,0.0999296714480199,3.52179075022178,0.000656416698752647,0.123987144085033,-0.503958433421852,-1.11510314996267
"LOC105375744",0.041677966715649,0.00340228299719583,3.52055211685256,0.000659136807990716,0.123987144085033,-0.507636487748671,-0.041677966715649
"ARVCF",1.1633313492248,2.04905788656512,3.51990589440638,0.000660560170937842,0.123987144085033,-0.509555020194454,-1.1633313492248
"HS3ST4",0.896683486862131,0.417102294033295,3.51583580920147,0.000669591820675301,0.124667510124409,-0.521632313120519,-0.896683486862131
"TNFRSF19",1.09971622961771,1.04903106408385,3.51401349045271,0.000673673279460619,0.124667510124409,-0.527036296726164,-1.09971622961771
"FZD1",1.04417793377902,2.20035591708911,3.51150164896132,0.000679337578600007,0.124836593639517,-0.534481530625616,-1.04417793377902
"FAM169A",0.53687472647483,0.406741613352047,3.50205977365251,0.000701034043031535,0.127928976269324,-0.562431533642867,-0.53687472647483
"LCN15",0.702694978749664,0.0895251796840289,3.49639263071443,0.00071436887895727,0.12925061734542,-0.57917998920435,-0.702694978749664
"CACNA1S",0.105403679610552,0.0101994145620325,3.49481910437247,0.000718113636213992,0.12925061734542,-0.583826661845881,-0.105403679610552
"RNASEH2B",-0.724085915724785,5.49554340324429,-3.49015768733206,0.000729316105150856,0.130373936130301,-0.597582611434612,0.724085915724785
"SERPINA12",0.0681531065206371,0.0151079556540932,3.48334272922314,0.000745991079654804,0.132453740480871,-0.617668494618989,-0.0681531065206371
"TMEM274P",0.028313566226085,0.00231131152866,3.4776566699136,0.000760178336752879,0.13372117036207,-0.634404201240959,-0.028313566226085
"B4GALT4-AS1",0.0267656006691059,0.0021849469933964,3.46838609464857,0.000783856147303779,0.13372117036207,-0.661645332608554,-0.0267656006691059
"DEFA5",1.58696785643424,0.151323620390406,3.46530143385229,0.00079188757143761,0.13372117036207,-0.670697116760013,-1.58696785643424
"SPRY4",0.75530180221612,0.955017150759061,3.46060682012786,0.00080425976169755,0.13372117036207,-0.68446138742731,-0.75530180221612
"BRINP1",0.605441749695897,0.293369247513539,3.45907557068053,0.000808334459851063,0.13372117036207,-0.688947807953092,-0.605441749695897
"BSX",0.186327469753701,0.0183848293159366,3.4571882039524,0.00081338356287973,0.13372117036207,-0.694475524843313,-0.186327469753701
"WFDC8",0.0941334529172064,0.00924275388161115,3.45630919199554,0.000815745234283211,0.13372117036207,-0.697049184095071,-0.0941334529172064
"ANKRD66",0.371828559034052,0.0785946224939306,3.45595495292593,0.000816698805761921,0.13372117036207,-0.698086218822427,-0.371828559034052
"LMNTD1",0.312434303047666,0.0325475574001549,3.45577249228344,0.000817190378866908,0.13372117036207,-0.698620340464797,-0.312434303047666
"FUOM",-1.30522144147131,5.40422459506374,-3.45512708455272,0.000818931430675818,0.13372117036207,-0.700509485210335,1.30522144147131
"PRSS56",0.589038141289446,0.0606730485139662,3.45497320195784,0.000819347060012242,0.13372117036207,-0.70095986826222,-0.589038141289446
"LOC613266",0.795239203395582,0.194876862728075,3.45438174232583,0.00082094641415739,0.13372117036207,-0.702690807041817,-0.795239203395582
"OXTR",0.402022342924454,0.355937966347911,3.45400777498296,0.000821959169077919,0.13372117036207,-0.703785125483337,-0.402022342924454
"HHATL-AS1",0.102285796402304,0.0100487196774556,3.44921563066842,0.000835041575176491,0.13372117036207,-0.717800044385353,-0.102285796402304
"PEG3",0.498663816874819,0.225011043844115,3.44919931585289,0.000835086447295103,0.13372117036207,-0.717847732546096,-0.498663816874819
"PIK3R1",1.75745922675489,3.26559303738299,3.44862200661239,0.000836675736327623,0.13372117036207,-0.719535094358023,-1.75745922675489
"PCDHA4",0.564688280464936,0.305615147390722,3.44741509291924,0.000840007487950441,0.13372117036207,-0.723061965906473,-0.564688280464936
"ZNF610",0.535397534071176,0.473248910618357,3.44571346201431,0.000844726169423232,0.13372117036207,-0.728032900759756,-0.535397534071176
"LOC101927020",0.130837491961714,0.0127809874152671,3.43793526372154,0.000866615020616224,0.136364727615288,-0.750731151094862,-0.130837491961714
"WLS",1.37014602449619,3.61876567481842,3.43602587001885,0.000872069363237844,0.136406182899786,-0.756297091493974,-1.37014602449619
"TFCP2L1",1.0675669461989,1.05099528485341,3.43030035280273,0.000888619193654704,0.1381723974607,-0.772972878958983,-1.0675669461989
"NUF2",-1.19092137098485,4.64319956408425,-3.42415698852804,0.000906705403539563,0.139494220224821,-0.790841837743625,1.19092137098485
"PREX2",0.576779558876088,0.496665601989818,3.42381008737148,0.000907736953285805,0.139494220224821,-0.791850118993237,-0.576779558876088
"MMP26",0.721522937848782,0.0782750635406385,3.4202005698635,0.000918535995942233,0.140074351626161,-0.802336643455991,-0.721522937848782
"TAS1R1",0.139189726928742,0.0678542719588096,3.41650958240692,0.000929703722516801,0.140074351626161,-0.813051033927209,-0.139189726928742
"PTPRG",0.825531440931452,1.26355316777107,3.41423201872318,0.000936658494948951,0.140074351626161,-0.819658009638809,-0.825531440931452
"RAP1GAP2",0.841572201630617,1.28223951523683,3.41244200303481,0.000942158810280103,0.140074351626161,-0.824848271883591,-0.841572201630617
"LINC02683",0.0674606772019425,0.0120062439723261,3.41019816608206,0.000949096537349229,0.140074351626161,-0.831351448012001,-0.0674606772019425
"SERINC5",1.01279187221835,3.03902908104547,3.40979971013113,0.000950333538218017,0.140074351626161,-0.832505923165376,-1.01279187221835
"PKNOX2-AS1",0.0204373415353599,0.00166835441104979,3.40791628393044,0.000956201161982523,0.140074351626161,-0.83796149890526,-0.0204373415353599
"SMIM40",0.0204373415353599,0.00166835441104979,3.40791628393044,0.000956201161982525,0.140074351626161,-0.83796149890526,-0.0204373415353599
"NRAP",0.123425959283614,0.0143345951556404,3.40624129513862,0.000961448031999813,0.140074351626161,-0.842811352946788,-0.123425959283614
"ZSCAN18",1.45888431604915,2.05918524720785,3.40517036849223,0.000964816867506472,0.140074351626161,-0.845911206541304,-1.45888431604915
"UGT2B4",0.417259800899045,0.0472530550985944,3.40318329623854,0.000971097070045607,0.140211476959662,-0.851660895241389,-0.417259800899045
"CRACD",0.489613458612447,0.28985065331286,3.39844666157747,0.000986222735651992,0.141617273483405,-0.86535610378983,-0.489613458612447
"MORC1",0.0699082375869625,0.00950701027615903,3.39554878768823,0.000995585550918976,0.142184766886135,-0.873727555862998,-0.0699082375869625
"C8orf34-AS1",0.359121772576351,0.0851015508122289,3.39364744405593,0.00100177398563159,0.142295225915822,-0.879217201627833,-0.359121772576351
"SH3BP4",1.04597025531604,2.81540235043763,3.39029174160274,0.00101278434458481,0.143085736596772,-0.888900126735513,-1.04597025531604
"SLC16A12",0.556310278098724,0.154532171994337,3.38848017689668,0.00101877542948671,0.14312422761832,-0.89412433598166,-0.556310278098724
"KLK4",1.16877635307328,0.577857832182381,3.38414362704619,0.00103325256203472,0.14312422761832,-0.906621329878477,-1.16877635307328
"EPHA7",0.712497497494627,0.206586926819752,3.38260031541203,0.00103845123498848,0.14312422761832,-0.911065823730268,-0.712497497494627
"LY6K",-1.66480570938439,5.79195990880734,-3.38246027863975,0.00103892416574137,0.14312422761832,-0.911469029695374,1.66480570938439
"DLX6",0.832266629808164,0.642689100365788,3.38205633337207,0.00104028949977545,0.14312422761832,-0.912632031223945,-0.832266629808164
"KIAA1549L",0.517928123702946,0.313849942391415,3.38042344512752,0.00104582586053465,0.1431365206413,-0.917332192265935,-0.517928123702946
"POTEB",0.0248867976217977,0.00234901034047369,3.3778278946658,0.00105468317264547,0.143475951245958,-0.924799686982358,-0.0248867976217977
"SERPINA4",0.201190323744873,0.0604025065323586,3.37650466776202,0.00105922576077768,0.143475951245958,-0.928604945876133,-0.201190323744873
"CPN1",0.204348940603086,0.0243318322073323,3.37247102852455,0.00107318677368017,0.144352139706993,-0.940197504922201,-0.204348940603086
"PITPNM3",0.838443339835909,1.3081403828956,3.37035191621542,0.00108059041004433,0.144352139706993,-0.946283456331291,-0.838443339835909
"CLSTN2",0.535362517530927,0.341644644331789,3.36895939514291,0.00108548161474099,0.144352139706993,-0.950281066467744,-0.535362517530927
"IRGQ",0.661793646814963,1.98830735230288,3.36833901162494,0.00108766738952678,0.144352139706993,-0.95206163237803,-0.661793646814963
"CDH2",0.849503915129188,0.676255766111335,3.36228918297386,0.00110920032714429,0.146321328628269,-0.969411904697315,-0.849503915129188
"NHLRC4",0.465287381573543,0.392534408056768,3.36105519514987,0.0011136412864622,0.146321328628269,-0.972947871910794,-0.465287381573543
"ORM2",0.479940141862664,0.13773269440389,3.35804471165119,0.00112454576774292,0.147018973555962,-0.981570111842692,-0.479940141862664
"CPLANE2",0.707005748631276,1.4125511579002,3.35567763686144,0.00113319002729971,0.147096529036452,-0.988345357613175,-0.707005748631276
"BAIAP3",0.662961818565387,0.617013356925875,3.35482080941402,0.00113633440118729,0.147096529036452,-0.990796925671705,-0.662961818565387
"CCDC148",0.509537233505587,0.625495291138236,3.34804325098741,0.00116149677890983,0.149616727236238,-1.01017178450772,-0.509537233505587
"CCDC103",0.483388232088068,0.419197521656936,3.34480890490071,0.00117368807534649,0.150449635336366,-1.01940696838722,-0.483388232088068
"CHST1",0.979446912246857,0.927279730858528,3.33875359137678,0.00119683600080128,0.151744855224216,-1.03667826387555,-0.979446912246857
