"","Region","count","Group","Pvalue"
"1","CFS",72,"Observed",0.394886301112808
"2","CFS",82.77,"Expected",0.394886301112808
"3","RFS",16,"Observed",0.73977658018117
"4","RFS",18.93,"Expected",0.73977658018117
"5","NFR",212,"Observed",0.471760776094974
"6","NFR",199.63,"Expected",0.471760776094974
"7","Rest",223,"Observed",0.983533031342226
"8","Rest",221.67,"Expected",0.983533031342226
