"","Region","count","Group","Pvalue"
"1","CFS",56,"Observed",1.213864304435e-05
"2","CFS",22.16,"Expected",1.213864304435e-05
"3","RFS",0,"Observed",0.068130774755256
"4","RFS",5.07,"Expected",0.068130774755256
"5","NFR",39,"Observed",0.0876433936614882
"6","NFR",53.44,"Expected",0.0876433936614882
"7","Rest",45,"Observed",0.0991847162054005
"8","Rest",59.34,"Expected",0.0991847162054005
